subNum group counterBalancing date time trial block list task animacy alphabetical word preTimeFix preTimeWord RT resp acc 
1 1 1 20200122 145718 116 2 3 living inanimate non-alphabetical PUZZLE 516.478464 299.884089 497.577004 1 0
1 1 1 20200122 145718 117 2 3 living inanimate non-alphabetical WHIP 516.460532 300.017963 557.324596 1 0
1 1 1 20200122 145718 118 2 3 living animate alphabetical ARTERY 516.458986 299.898311 1541.864722 1 1
1 1 1 20200122 145718 119 2 3 living inanimate alphabetical STAIRWAY 516.593788 299.692089 477.573745 1 0
1 1 1 20200122 145718 120 2 3 living inanimate alphabetical ATTIC 516.482793 299.858427 449.449283 1 0
1 1 1 20200122 145718 121 2 3 living inanimate non-alphabetical TUNIC 516.306252 316.730087 0.212291 1 0
1 1 1 20200122 145718 122 2 3 living inanimate non-alphabetical FURNACE 516.344899 299.918098 1349.338072 1 0
1 1 1 20200122 145718 123 2 3 living inanimate non-alphabetical WEDGE 516.619141 299.977461 1691.319037 1 0
1 1 1 20200122 145718 124 2 3 living inanimate alphabetical CARPET 516.558076 299.738003 317.693455 1 0
1 1 1 20200122 145718 125 2 3 living inanimate non-alphabetical MOLECULE 516.736938 299.874813 894.452689 1 0
1 1 1 20200122 145718 126 2 3 living inanimate alphabetical LEAFLET 516.409517 299.972514 463.739224 1 0
1 1 1 20200122 145718 127 2 3 living inanimate alphabetical RECEIPT 516.500722 299.824111 905.895714 1 0
1 1 1 20200122 145718 128 2 3 living animate alphabetical PUPPY 516.357773 300.081573 1164.598093 1 1
1 1 1 20200122 145718 129 2 3 living inanimate non-alphabetical LUGGAGE 516.481247 299.841113 475.790710 1 0
1 1 1 20200122 145718 130 2 3 living animate non-alphabetical ORCHID 516.621005 316.650500 118.234228 1 1
1 1 1 20200122 145718 131 2 3 living animate non-alphabetical PRIMATE 516.465635 316.475249 12.400433 1 1
1 1 1 20200122 145718 132 2 3 living inanimate non-alphabetical NITROGEN 516.547642 316.402979 1.980563 1 0
1 1 1 20200122 145718 133 2 3 living animate alphabetical HEART 516.659990 316.408738 0.267905 1 1
1 1 1 20200122 145718 134 2 3 living inanimate non-alphabetical GLOVE 516.554539 299.787608 375.058960 1 0
1 1 1 20200122 145718 135 2 3 living animate non-alphabetical SHRIMP 516.379527 316.761895 0.233933 1 1
1 1 1 20200122 145718 136 2 3 living animate non-alphabetical KNUCKLE 516.680164 316.556790 0.241238 1 1
1 1 1 20200122 145718 137 2 3 living animate non-alphabetical THIGH 516.616124 316.471773 162.054094 1 1
1 1 1 20200122 145718 138 2 3 living inanimate non-alphabetical GRAVE 516.598772 316.468409 158.940081 1 0
1 1 1 20200122 145718 139 2 3 living animate non-alphabetical MARE 516.383855 316.673123 234.119759 1 1
1 1 1 20200122 145718 140 2 3 living inanimate non-alphabetical TELEGRAM 516.423009 316.574495 0.205798 1 0
1 1 1 20200122 145718 141 2 3 living animate non-alphabetical OLIVE 516.644184 299.688997 547.554542 1 1
1 1 1 20200122 145718 142 2 3 living animate alphabetical POPPY 516.422204 299.984382 1146.408168 1 1
1 1 1 20200122 145718 143 2 3 living animate non-alphabetical MINK 516.580803 316.501529 49.675664 1 1
1 1 1 20200122 145718 144 2 3 living inanimate alphabetical BISCUIT 516.382001 316.663539 96.646746 1 0
1 1 1 20200122 145718 145 3 3 living animate alphabetical KITTEN 516.364996 300.039089 354.560104 1 1
1 1 1 20200122 145718 146 3 3 living animate non-alphabetical RETINA 516.664281 316.383114 79.135161 1 1
1 1 1 20200122 145718 147 3 3 living inanimate non-alphabetical RECIPE 516.326348 316.542959 0.130049 1 0
1 1 1 20200122 145718 148 3 3 living animate alphabetical CORK 516.506600 316.563983 0.184773 1 1
1 1 1 20200122 145718 149 3 3 living animate non-alphabetical SPINACH 516.407972 316.671887 58.143148 1 1
1 1 1 20200122 145718 150 3 3 living inanimate non-alphabetical SKEWER 516.353865 316.755365 40.472644 1 0
1 1 1 20200122 145718 151 3 3 living inanimate alphabetical GEYSER 516.437962 299.865847 598.881337 1 0
1 1 1 20200122 145718 152 3 3 living inanimate alphabetical DITCH 516.399005 299.829673 307.810703 1 0
1 1 1 20200122 145718 153 3 3 living inanimate alphabetical DIAGRAM 516.664855 299.882152 465.245588 1 0
1 1 1 20200122 145718 154 3 3 living animate non-alphabetical SCALP 516.626870 299.827509 553.369270 1 1
1 1 1 20200122 145718 155 3 3 living inanimate alphabetical BADGE 516.448165 316.619326 224.326825 1 0
1 1 1 20200122 145718 156 3 3 living animate non-alphabetical SHERIFF 516.595025 316.454843 153.164346 1 1
1 1 1 20200122 145718 157 3 3 living inanimate alphabetical FOLDER 516.422194 316.619945 124.952078 1 0
1 1 1 20200122 145718 158 3 3 living animate non-alphabetical SNAIL 516.625284 316.547637 152.800793 1 1
1 1 1 20200122 145718 159 3 3 living inanimate non-alphabetical PRAM 516.625318 316.675563 0.479737 1 0
1 1 1 20200122 145718 160 3 3 living inanimate alphabetical GUITAR 516.405182 316.694148 0.237643 1 0
1 1 1 20200122 145718 161 3 3 living inanimate alphabetical GRAVY 516.668256 299.766954 457.516115 1 0
1 1 1 20200122 145718 162 3 3 living inanimate alphabetical ATLAS 516.407353 316.580370 237.746119 1 0
1 1 1 20200122 145718 163 3 3 living animate non-alphabetical PICKLE 516.470426 316.614379 231.483081 1 1
1 1 1 20200122 145718 164 3 3 living animate non-alphabetical ROBIN 516.547411 316.548871 208.303318 1 1
1 1 1 20200122 145718 165 3 3 living animate alphabetical DAFFODIL 516.483982 316.570636 155.856724 1 1
1 1 1 20200122 145718 166 3 3 living animate alphabetical BURGLAR 516.494348 316.551694 226.792914 1 1
1 1 1 20200122 145718 167 3 3 living inanimate non-alphabetical REACTOR 516.556513 299.735547 454.507006 1 0
1 1 1 20200122 145718 168 3 3 living animate alphabetical FALCON 516.552976 316.534611 208.371028 1 1
1 1 1 20200122 145718 169 3 3 living animate non-alphabetical MAMMAL 516.535972 316.568057 115.920343 1 1
1 1 1 20200122 145718 170 3 3 living inanimate non-alphabetical NEEDLE 516.444455 316.617471 56.668673 1 0
1 1 1 20200122 145718 171 3 3 living animate non-alphabetical WIDOW 516.650483 316.558020 0.214339 1 1
1 1 1 20200122 145718 172 3 3 living animate non-alphabetical SPEAR 516.482470 316.566124 0.870509 1 1
1 1 1 20200122 145718 173 3 3 living animate non-alphabetical LEOPARD 516.511275 316.424197 0.268214 1 1
1 1 1 20200122 145718 174 3 3 living inanimate alphabetical FEAST 516.377672 316.558418 0.259286 1 0
1 1 1 20200122 145718 175 3 3 living animate alphabetical ASSASSIN 516.363219 316.626128 39.701242 1 1
1 1 1 20200122 145718 176 3 3 living inanimate alphabetical CAKE 516.496614 316.398355 165.891789 1 0
1 1 1 20200122 145718 177 3 3 living inanimate non-alphabetical PODIUM 516.557305 316.702920 161.591946 1 0
1 1 1 20200122 145718 178 3 3 living inanimate non-alphabetical PARCEL 516.404571 316.605722 93.933392 1 0
1 1 1 20200122 145718 179 3 3 living inanimate non-alphabetical LEASE 516.417556 316.615307 108.258889 1 0
1 1 1 20200122 145718 180 3 3 living inanimate non-alphabetical SILICON 516.613576 316.648620 232.355274 1 0
1 1 1 20200122 145718 181 3 3 living inanimate non-alphabetical SPINDLE 516.525459 300.074234 300.287143 1 0
1 1 1 20200122 145718 182 3 3 living animate non-alphabetical PANDA 516.465479 299.903258 603.179852 1 1
1 1 1 20200122 145718 183 3 3 living inanimate non-alphabetical STOOL 516.610484 316.711730 269.587529 1 0
1 1 1 20200122 145718 184 3 3 living inanimate non-alphabetical PIPE 516.399315 316.638186 126.059248 1 0
1 1 1 20200122 145718 185 3 3 living animate non-alphabetical POPE 516.501343 316.614492 171.422290 1 1
1 1 1 20200122 145718 186 3 3 living inanimate alphabetical JEEP 516.580840 299.810467 792.406907 1 0
1 1 1 20200122 145718 187 3 3 living inanimate non-alphabetical SATIN 516.475991 300.025693 636.418752 1 0
1 1 1 20200122 145718 188 3 3 living animate alphabetical RASPBERRY 516.424358 299.937268 344.115421 1 1
1 1 1 20200122 145718 189 3 3 living animate alphabetical CONVICT 516.549803 316.440084 135.036958 1 1
1 1 1 20200122 145718 190 3 3 living animate alphabetical NUCLEUS 516.317267 316.575423 0.313392 1 1
1 1 1 20200122 145718 191 3 3 living animate alphabetical OYSTER 516.628416 299.905548 1443.576120 1 1
1 1 1 20200122 145718 192 3 3 living inanimate alphabetical BRAKE 516.642329 316.379713 192.274245 1 0
1 1 1 20200122 145718 193 3 3 living animate alphabetical NANNY 516.442600 316.567075 142.704823 1 1
1 1 1 20200122 145718 194 3 3 living inanimate alphabetical BEDROOM 516.397891 316.538940 141.763064 1 0
1 1 1 20200122 145718 195 3 3 living animate non-alphabetical PEACOCK 516.419102 316.667867 27.153524 1 1
1 1 1 20200122 145718 196 3 3 living animate alphabetical PANTHER 516.323219 316.587481 0.185083 1 1
1 1 1 20200122 145718 197 3 3 living animate alphabetical GERM 516.244185 316.649935 31.798629 1 1
1 1 1 20200122 145718 198 3 3 living inanimate non-alphabetical SLEEVE 516.568744 316.496891 0.208271 1 0
1 1 1 20200122 145718 199 3 3 living inanimate alphabetical ANVIL 516.617904 316.546669 0.132213 1 0
1 1 1 20200122 145718 200 3 3 living inanimate non-alphabetical SMOG 516.462078 300.045171 658.642224 1 0
1 1 1 20200122 145718 201 3 3 living inanimate non-alphabetical PURSE 516.560706 316.583771 189.668176 1 0
1 1 1 20200122 145718 202 3 3 living inanimate non-alphabetical KEYBOARD 516.288479 316.723520 171.398483 1 0
1 1 1 20200122 145718 203 3 3 living animate non-alphabetical PEACH 516.492068 316.560582 33.129644 1 1
1 1 1 20200122 145718 204 3 3 living inanimate alphabetical CANDLE 516.526387 316.498437 0.133759 1 0
1 1 1 20200122 145718 205 3 3 living inanimate alphabetical LEDGER 516.602136 299.736301 541.971389 1 0
1 1 1 20200122 145718 206 3 3 living animate non-alphabetical NATIVE 516.583276 316.737738 0.150455 1 1
1 1 1 20200122 145718 207 3 3 living animate alphabetical INSULIN 516.448474 316.662825 266.714948 1 1
1 1 1 20200122 145718 208 3 3 living inanimate alphabetical GLACIER 516.401944 316.481123 13.838115 1 0
1 1 1 20200122 145718 209 3 3 living animate alphabetical BICEPS 516.524223 299.843586 427.334951 1 1
1 1 1 20200122 145718 210 3 3 living inanimate alphabetical BLAZER 516.378599 316.683945 0.169315 1 0
1 1 1 20200122 145718 211 3 3 living animate alphabetical PREACHER 516.601517 316.572640 239.339008 1 1
1 1 1 20200122 145718 212 3 3 living animate non-alphabetical SURGEON 516.511040 316.435871 0.447463 1 1
1 1 1 20200122 145718 213 3 3 living animate alphabetical DUCK 516.474445 316.541104 217.758010 1 1
1 1 1 20200122 145718 214 3 3 living inanimate non-alphabetical LATCH 516.330021 316.556563 141.655470 1 0
1 1 1 20200122 145718 215 3 3 living animate alphabetical GILLS 516.633054 316.392389 0.127266 1 1
1 1 1 20200122 145718 216 3 3 living animate non-alphabetical MONK 516.525459 299.822253 513.240318 1 1
1 1 1 20200122 145718 217 4 1 alphabetical inanimate non-alphabetical SCARF 516.647276 316.406920 261.980182 1 0
1 1 1 20200122 145718 218 4 1 alphabetical animate non-alphabetical MOTH 516.602346 316.422169 1.009452 1 0
1 1 1 20200122 145718 219 4 1 alphabetical animate alphabetical FUNGUS 516.435923 316.560582 189.236253 1 1
1 1 1 20200122 145718 220 4 1 alphabetical inanimate alphabetical CONCRETE 516.471044 316.544196 281.366319 1 1
1 1 1 20200122 145718 221 4 1 alphabetical inanimate alphabetical ESSAY 516.466097 299.900166 307.122161 1 1
1 1 1 20200122 145718 222 4 1 alphabetical animate alphabetical CORN 516.515335 316.472351 201.637304 1 1
1 1 1 20200122 145718 223 4 1 alphabetical animate alphabetical CROW 516.631817 316.576462 0.268870 1 1
1 1 1 20200122 145718 224 4 1 alphabetical animate alphabetical BLADDER 516.459295 316.501838 228.669552 1 1
1 1 1 20200122 145718 225 4 1 alphabetical inanimate non-alphabetical SLEDGE 516.639271 316.486964 135.972109 1 0
1 1 1 20200122 145718 226 4 1 alphabetical inanimate non-alphabetical TATTOO 516.475063 316.577427 222.214824 1 0
1 1 1 20200122 145718 227 4 1 alphabetical animate non-alphabetical RAVEN 516.586059 316.396717 59.856308 1 0
1 1 1 20200122 145718 228 4 1 alphabetical animate non-alphabetical PETAL 516.390474 316.473085 58.682974 1 0
1 1 1 20200122 145718 229 4 1 alphabetical inanimate alphabetical APRON 516.518375 299.778941 616.200277 1 1
1 1 1 20200122 145718 230 4 1 alphabetical inanimate alphabetical GRAPH 516.560087 299.871722 901.404886 1 1
1 1 1 20200122 145718 231 4 1 alphabetical inanimate alphabetical CABINET 516.594559 316.564602 125.590689 1 1
1 1 1 20200122 145718 232 4 1 alphabetical animate non-alphabetical LEAF 516.430858 299.811741 1243.651127 1 0
1 1 1 20200122 145718 233 4 1 alphabetical animate alphabetical FLESH 516.432706 316.618399 223.245008 1 1
1 1 1 20200122 145718 234 4 1 alphabetical inanimate non-alphabetical SACK 516.452802 299.876669 651.261814 1 0
1 1 1 20200122 145718 235 4 1 alphabetical inanimate non-alphabetical PIXIE 516.281290 316.623655 0.196213 1 0
1 1 1 20200122 145718 236 4 1 alphabetical inanimate non-alphabetical THRONE 516.604107 299.799877 525.227070 1 0
1 1 1 20200122 145718 237 4 1 alphabetical inanimate non-alphabetical GARAGE 516.486194 316.518225 229.079524 1 0
